Features,Description
YEAR,Year
MONTH,Month
DAY,Day of Month
DAY_OF_WEEK,Day of Week
FlightDate,Flight Date (yyyymmdd)
AIRLINE,
DOT_ID_Reporting_Airline,
IATA_CODE_Reporting_Airline,
TAIL_NUMBER,
FLIGHT_NUMBER,
OriginAirportID,
OriginAirportSeqID,
OriginCityMarketID,
ORIGIN_AIRPORT,
OriginCityName,
OriginState,
OriginStateFips,
OriginStateName,
OriginWac,
DestAirportID,
DestAirportSeqID,
DestCityMarketID,
DESTINATION_AIRPORT,
DestCityName,
DestState,
DestStateFips,
DestStateName,
DestWac,
SCHEDULED_DEPARTURE,
DEPARTURE_TIME,
DEPARTURE_DELAY,
DepDelayMinutes,
DepDel15,
DepartureDelayGroups,
DepTimeBlk,
TAXI_OUT,
WHEELS_OFF,
WHEELS_ON,
TAXI_IN,
SCHEDULED_ARRIVAL,
ARRIVAL_TIME,
ARRIVAL_DELAY,
ArrDelayMinutes,
ArrDel15,
ArrivalDelayGroups,
ArrTimeBlk,
CANCELLED,
CancellationCode,
DIVERTED,
CRSElapsedTime,
ELAPSED_TIME,
AIR_TIME,
Flights,
DISTANCE,
DistanceGroup,
CarrierDelay,
WeatherDelay,
NASDelay,
SecurityDelay,
LateAircraftDelay,
FirstDepTime,
TotalAddGTime,
LongestAddGTime,
DivAirportLandings,
